RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
887887,201376536,5309,0,HARASSMENT,5300,THREATS,03/06/2013 10:53:00 AM,02/01/2013 08:00:00 PM,03/06/2013 10:53:00 AM,32XX BLOCK OF S EDMUNDS ST,R,R3,10300.4005,-122.290153503,47.558666229,"(47.558666229, -122.290153503)",3,2013
1032709,2016325960,X,47,PROPERTY FOUND,X,STOLEN PROPERTY,09/08/2016 01:48:00 PM,09/08/2016 01:48:00 PM,,88XX BLOCK OF MIDVALE AV N,N,N3,1800.2001,-122.342399597,47.693267822,"(47.693267822, -122.342399597)",9,2016
887888,201375602,5309,0,HARASSMENT,5300,THREATS,03/05/2013 04:34:00 PM,03/05/2013 03:37:00 PM,,9XX BLOCK OF JAMES ST,E,E3,8500.1020,-122.324195862,47.60578537,"(47.60578537, -122.324195862)",3,2013
1032711,2016325955,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,09/08/2016 01:33:00 PM,08/31/2016 12:00:00 PM,09/02/2016 04:20:00 PM,3XX BLOCK OF 9 AV,G,G1,8500.3001,-122.323440552,47.604129791,"(47.604129791, -122.323440552)",9,2016
887889,201377022,X,69,VEH-RCVD-FOR OTHER AGENCY,X,VEHICLE THEFT,03/06/2013 06:09:00 PM,03/06/2013 06:09:00 PM,,SW ROXBURY ST / KELSEY LN SW,F,F2,11402.2019,-122.361129761,47.517364502,"(47.517364502, -122.361129761)",3,2013
1032713,2016325704,2305,0,THEFT-CARPROWL,2300,CAR PROWL,09/08/2016 10:16:00 AM,09/07/2016 11:00:00 PM,09/08/2016 09:00:00 AM,135XX BLOCK OF SHERMAN RD NW,N,N1,500.1015,-122.361526489,47.727851868,"(47.727851868, -122.361526489)",9,2016
1032714,2016326028,2305,0,THEFT-CARPROWL,2300,CAR PROWL,09/08/2016 02:56:00 PM,09/08/2016 02:56:00 PM,,3XX BLOCK OF COLUMBIA ST,K,K1,8100.2029,-122.33216095,47.604431152,"(47.604431152, -122.33216095)",9,2016
887890,201375385,2305,0,THEFT-CARPROWL,2300,CAR PROWL,03/05/2013 01:06:00 PM,03/04/2013 11:30:00 PM,03/05/2013 11:30:00 AM,39XX BLOCK OF SW OTHELLO ST,W,W3,11600.1008,-122.382835388,47.537521362,"(47.537521362, -122.382835388)",3,2013
1032716,2016326016,2305,0,THEFT-CARPROWL,2300,CAR PROWL,09/08/2016 02:43:00 PM,09/08/2016 02:40:00 PM,,34 AV / E SPRING ST,C,C3,7800.3022,-122.289344788,47.611625671,"(47.611625671, -122.289344788)",9,2016
1032717,2016325745,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,09/08/2016 10:48:00 AM,09/08/2016 12:30:00 AM,09/08/2016 01:30:00 AM,3XX BLOCK OF 1 AV N,Q,Q3,7100.2012,-122.355430603,47.621520996,"(47.621520996, -122.355430603)",9,2016
1032718,2016325894,2399,3,THEFT-OTH,2300,OTHER PROPERTY,09/08/2016 12:53:00 PM,09/06/2016 12:01:00 AM,09/06/2016 11:59:00 PM,ALASKAN WY / PIKE HILL CLIMB,M,M1,8100.1059,-122.342498779,47.607749939,"(47.607749939, -122.342498779)",9,2016
1032719,2016326685,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,09/09/2016 06:53:00 AM,09/08/2016 09:00:00 PM,09/09/2016 05:11:00 AM,38XX BLOCK OF BEACON AV S,R,R1,10001.2000,-122.306472778,47.566432953,"(47.566432953, -122.306472778)",9,2016
1032720,2016326329,2902,0,PROPERTY DAMAGE-RESIDENTIAL,2900,PROPERTY DAMAGE,09/09/2016 12:28:00 AM,09/09/2016 12:28:00 AM,,62XX BLOCK OF 35 AV NE,U,U3,4200.4006,-122.290260315,47.674884796,"(47.674884796, -122.290260315)",9,2016
1032721,2016326559,2903,0,PROPERTY DAMAGE-NON RESIDENTIA,2900,PROPERTY DAMAGE,09/09/2016 12:23:00 AM,09/09/2016 12:23:00 AM,,18XX BLOCK OF E OLIVE WY,E,E1,7402.1010,-122.321540833,47.619903564,"(47.619903564, -122.321540833)",9,2016
887891,201375804,2305,0,THEFT-CARPROWL,2300,CAR PROWL,03/05/2013 08:35:00 PM,03/04/2013 06:00:00 PM,03/05/2013 06:30:00 PM,38XX BLOCK OF LETITIA AV S,R,R2,10100.4005,-122.290763855,47.568386078,"(47.568386078, -122.290763855)",3,2013
887893,201375070,5707,0,TRESPASS,5700,TRESPASS,03/05/2013 10:51:00 AM,03/05/2013 08:19:00 AM,,9XX BLOCK OF BOYLSTON AV,E,E3,8400.2010,-122.321487427,47.610374451,"(47.610374451, -122.321487427)",3,2013
887894,201374898,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/05/2013 04:24:00 AM,03/04/2013 11:00:00 PM,03/05/2013 02:00:00 AM,39XX BLOCK OF S HUDSON ST,R,R3,10300.5010,-122.282096863,47.557033539,"(47.557033539, -122.282096863)",3,2013
887895,201375125,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/05/2013 09:01:00 AM,03/05/2013 09:01:00 AM,,24XX BLOCK OF 34 AV W,Q,Q1,5700.3016,-122.400993347,47.640041351,"(47.640041351, -122.400993347)",3,2013
